,面积,fixation_count,fixation_density
count,2046.0,2046.0,2046.0
mean,384874.1099706745,152.56989247311827,0.0010430297946041303
std,543665.9329433959,134.35230755523443,0.0020548655198737473
min,200.0,0.0,0.0
25%,17473.5,13.0,0.000311716086822625
50%,125909.0,111.0,0.00060323917951025
75%,603818.75,299.75,0.00121350071274195
max,2046781.0,388.0,0.0738341968911917
