,面积,fixation_count,fixation_density
count,531.0,531.0,531.0
mean,1087786.2052730697,288.316384180791,0.0005045521432849517
std,606820.5023959624,71.39571954107583,0.001552020053346985
min,2017.0,34.0,0.0001177189348671
25%,609745.5,274.0,0.0001814682773567
50%,1016605.0,304.0,0.0002933937830253
75%,1628716.5,331.0,0.00049103256451855
max,2047194.0,390.0,0.0347050074367873
